"site","year","sample_id","real_nest","field_nest_id","species","lat","long"
"Joule",2021,1,"no","239356","greg",26.0117310407778,-80.6304146159212
"Joule",2021,2,"no","239884","gbhe",26.0133720830984,-80.630815319135
"Joule",2021,3,"yes","102","greg",26.0121057,-80.631309
"Joule",2021,4,"no","239249","greg",26.012466301953,-80.6315195896658
"Joule",2021,5,"no","239306","greg",26.0113486866979,-80.6309203288257
"Joule",2021,6,"yes","159","greg",26.0123126,-80.6307449
"Joule",2021,7,"no","239799","greg",26.0117648346768,-80.6303903446224
"Joule",2021,8,"no","241236","whib",26.0133945837407,-80.6302470184366
"Joule",2021,9,"yes","104","greg",26.0120936,-80.6313753
"Joule",2021,10,"yes","108","greg",26.0117449,-80.6311519
"Joule",2021,11,"no","239730","greg",26.0114054571659,-80.6308549346299
"Joule",2021,12,"yes","77","greg",26.0116426,-80.6309507
"Joule",2021,13,"yes","71","greg",26.0120491,-80.6305118
"Joule",2021,14,"yes","","greg",26.0119225,-80.6314688
"Joule",2021,15,"no","240324","greg",26.0126918616375,-80.6309202336846
"Joule",2021,16,"no","241007","greg",26.0120021592392,-80.6304981677281
"Joule",2021,17,"no","239802","greg",26.0122858706209,-80.6316522806778
"Joule",2021,18,"yes","237","greg",26.0116147,-80.6307125
"Joule",2021,19,"yes","96","greg",26.0123706,-80.6307527
"Joule",2021,20,"yes","120","greg",26.0117665,-80.6305733
"Joule",2021,21,"yes","100","greg",26.01211,-80.6312433
"Joule",2021,22,"no","239943","greg",26.0124179272631,-80.631383385873
"Joule",2021,23,"no","241243","whib",26.0132284069392,-80.6303115311351
"Joule",2021,24,"no","240343","greg",26.0114594598962,-80.6308503459651
"Joule",2021,25,"yes","223","greg",26.0120943,-80.6312566
"Joule",2021,26,"no","239812","greg",26.0119793443849,-80.6315560198397
"Joule",2021,27,"yes","","greg",26.0118389,-80.6312183
"Joule",2021,28,"yes","","greg",26.0118552,-80.6314176
"Joule",2021,29,"no","241284","greg",26.0126724559602,-80.6298589635951
"Joule",2021,30,"no","241455","wost",26.0121369857049,-80.6310445546902
"Joule",2021,31,"no","241099","greg",26.0116635459701,-80.6314057882159
"Joule",2021,32,"no","241541","greg",26.0115340150023,-80.6308839942116
"Joule",2021,33,"yes","161","greg",26.0118004,-80.6312035
"Joule",2021,34,"yes","219","greg",26.0122733,-80.631082
"Joule",2021,35,"yes","","greg",26.0117358,-80.6310859
"Joule",2021,36,"yes","152","greg",26.0116869,-80.6306046
"Jerrod",2021,1,"yes","91","greg",26.003329,-80.5967376
"Jerrod",2021,2,"no","257218","rosp",26.002635735003,-80.5965544175643
"Jerrod",2021,3,"no","258330","greg",26.003328228695,-80.5967401808265
"Jerrod",2021,4,"yes","181","greg",26.0038501,-80.5966327
"Jerrod",2021,5,"yes","85","greg",26.0034046,-80.5968563
"Jerrod",2021,6,"no","258746","greg",26.0032675212227,-80.5963337875771
"Jerrod",2021,7,"no","258538","greg",26.003223726448,-80.5966059292556
"Jerrod",2021,8,"yes","186","greg",26.0034135,-80.5966876
"Jerrod",2021,9,"no","258823","greg",26.0033436480187,-80.596867299325
