"site","year","sample_id","nest_id","species","lat","long"
"6thBridge","2020",1,20338,"Snowy Egret",26.1216113221963,-80.5418227746537
"6thBridge","2020",2,20245,"Snowy Egret",26.1218519625173,-80.5418635242584
"6thBridge","2020",3,19652,"White Ibis",26.1213735073128,-80.541997129455
"6thBridge","2020",4,19843,"Snowy Egret",26.1230594573585,-80.5418410500586
"6thBridge","2020",5,19924,"Great Egret",26.122815744954,-80.5418672996185
"6thBridge","2020",6,31674,"Wood Stork",26.1206473263912,-80.5401120297856
"6thBridge","2020",7,19901,"Roseate Spoonbill",26.1228262038381,-80.5418305401567
"6thBridge","2020",8,19660,"Snowy Egret",26.1237371992141,-80.5418037018258
"6thBridge","2020",9,73467,"Wood Stork",26.1227892741171,-80.5404863412483
"6thBridge","2020",10,20803,"Roseate Spoonbill",26.124087273541,-80.5416469819326
"6thBridge","2020",11,24804,"Wood Stork",26.1236176940337,-80.5412761019381
"6thBridge","2020",12,30952,"Wood Stork",26.122011678314,-80.5402141513498
"6thBridge","2020",13,25209,"Great Blue Heron",26.1226630952434,-80.5412585112775
"6thBridge","2020",14,19684,"Roseate Spoonbill",26.1233422695725,-80.5418883142322
"6thBridge","2020",15,19912,"Great Egret",26.122809236886,-80.5418430587401
"6thBridge","2020",16,20965,"Roseate Spoonbill",26.1234113737553,-80.5417491036023
"6thBridge","2020",17,20261,"Roseate Spoonbill",26.1217164689077,-80.5418959487043
"6thBridge","2020",18,20443,"Snowy Egret",26.1215308122869,-80.5419539394891
"6thBridge","2020",19,19643,"White Ibis",26.1213354860038,-80.5419820066419
"6thBridge","2020",20,22572,"Great Blue Heron",26.1227693456033,-80.5414959329097
"6thBridge","2020",21,20558,"Roseate Spoonbill",26.121304011291,-80.5418256962026
"6thBridge","2020",22,19610,"White Ibis",26.1214217419922,-80.5419972724511
"6thBridge","2020",23,20302,"Roseate Spoonbill",26.1216211170378,-80.5419565597293
"6thBridge","2020",24,29493,"Wood Stork",26.1226743650253,-80.5405440921942
"6thBridge","2020",25,19895,"Great Blue Heron",26.1229924496862,-80.541803801595
"6thBridge","2020",26,20365,"Snowy Egret",26.1215765944573,-80.5418315315883
"6thBridge","2020",27,19844,"Great Blue Heron",26.1230918614936,-80.541800030499
"6thBridge","2020",28,19760,"Great Egret",26.1232653606623,-80.5418879125926
"6thBridge","2020",29,26360,"Wood Stork",26.1228538082146,-80.5410458544862
"6thBridge","2020",30,19659,"White Ibis",26.123883093827,-80.5418001941411
"6thBridge","2020",31,19569,"Great Egret",26.1218100871814,-80.5419997444336
"6thBridge","2020",32,21066,"Snowy Egret",26.1231195222287,-80.541724212732
"6thBridge","2020",33,19571,"Great Egret",26.1218357925461,-80.5420169390863
